cluster,Name,Metal,M_e,log_age,log_age_e,dg,mass,e_mass,rt_pc,e_rt_pc,R_J_pc,a_kpc,e,p_Myr,i_deg,S,V_esc_km/s,V_esc_err,V_rel_km/s,V_rel_err,R_roc
282,OC_0289,0.0085476,0.002494306,9.071882007,0.235868932,11.64127572,346,69,25.77228546,2.68653744,9.081799379,10.0387067,0.226829681,0.909332999,86.28491321,288.7665468,12.97480935,2.450311998,18.76603946,6.128696991,11.35376176
283,NGC_2311,0.0270298,0.007887664,7.380211242,0.191885492,11.97515635,201,40,5.087929759,0.198736262,7.813774532,7.486804142,0.105434431,0.585667347,74.4483152,180.6424632,3.873428597,0.56283762,21.05988807,3.506923363,9.85331798
283,OC_0369,0.0480666,0.014026488,6.670245853,0.173426392,16.40714467,114,22,6.141815994,0.17790262,6.500540776,7.392513098,0.126350396,0.574638152,72.31356597,180.6424632,3.873428597,0.56283762,21.05988807,3.506923363,8.155752893
286,NGC_2567,0.0270298,0.007887664,8.760422483,0.227770985,11.48775605,1021,204,13.21615283,1.225524635,12.53375923,10.46818102,0.14994053,0.968307151,87.87260525,284.196611,5.96430284,1.050725835,12.83746964,4.709066364,15.25522889
286,UBC_475,0.0085476,0.002494306,8.139879086,0.211636856,11.66598692,154,30,17.71093043,0.787752991,6.707125839,7.842632104,0.161691689,0.627912411,86.32614945,284.196611,5.96430284,1.050725835,12.83746964,4.709066364,8.119780529
287,NGC_2659,0.0480666,0.014026488,8.699837726,0.226195781,12.49709344,400,80,6.881772061,0.368735315,8.996794256,9.092609659,0.216724911,0.783861121,84.82080215,330.8903122,3.573130853,0.59884094,5.019098772,2.822425166,10.65308717
287,Theia_3337,0.0480666,0.014026488,7.320146286,0.190323803,11.88169481,91,18,6.54492995,0.116160465,5.405660408,9.336187205,0.199698741,0.81556885,79.5777695,330.8903122,3.573130853,0.59884094,5.019098772,2.822425166,6.50321785
288,NGC_2972,0.0270298,0.007887664,8.42975228,0.219173559,13.21680443,558,111,6.944822291,0.712769384,9.772819136,6.889961063,0.115619754,0.517048705,85.13742027,123.9631014,8.051511588,1.157816874,12.97813594,5.04574896,11.56765218
288,UBC_1456,0.0480666,0.014026488,6.620136055,0.172123537,16.0083398,376,75,12.00467081,0.343993896,8.615570087,7.279469513,0.120864884,0.561507938,84.77075237,123.9631014,8.051511588,1.157816874,12.97813594,5.04574896,10.13940968
290,NGC_5269,0.0152,0.004435567,8.399673721,0.218391517,12.48721557,676,135,6.213842432,0.427758076,9.482517309,7.72931417,0.124164695,0.61435266,79.819751,326.1434145,4.579620159,0.791841679,5.027341112,1.92984095,10.61144589
290,Theia_2166,0.0480666,0.014026488,8.949877704,0.23269682,11.98715719,119,23,8.313578488,3.368778273,5.318169371,7.3135259,0.109460644,0.565452995,82.66730462,326.1434145,4.579620159,0.791841679,5.027341112,1.92984095,5.947022467
291,NGC_5617,0.0270298,0.007887664,7.800029359,0.202800763,13.61318384,1591,318,9.361493434,0.175686381,12.25092648,6.214945544,0.134801803,0.44295774,88.31694007,235.5298505,9.13230018,1.390692979,15.34698859,3.108524599,13.37870823
291,UBC_298,0.0270298,0.007887664,8.650307523,0.224907996,13.33656466,692,138,13.41869539,1.805725183,9.164400445,7.385642881,0.162352433,0.57383728,95.86366209,235.5298505,9.13230018,1.390692979,15.34698859,3.108524599,10.13587706
292,NGC_5715,0.0085476,0.002494306,8.899820502,0.231395333,12.60610866,1536,307,8.226540287,0.518344212,12.09229831,7.548095644,0.08170878,0.592873986,98.20485885,230.6642782,8.473745112,1.398020495,6.010038038,1.665671687,13.36442832
292,NGC_5764,0.0480666,0.014026488,9.079181246,0.236058712,12.20678411,389,77,9.936309617,0.92067991,7.673749455,7.174717596,0.089887221,0.549431456,84.71327826,230.6642782,8.473745112,1.398020495,6.010038038,1.665671687,8.454590133
293,NGC_6200,0.0270298,0.007887664,7.281033367,0.189306868,13.33178708,700,140,32.04015816,17.22321724,8.454655208,8.105092045,0.049951914,0.659695057,99.60073751,249.4480218,6.670448322,0.949172651,18.96409475,2.470311998,9.097506382
293,UBC_1550,0.0480666,0.014026488,8.720159303,0.226724142,14.25620293,590,118,11.35668064,0.23674918,8.169272985,7.353882126,0.062582665,0.570139722,85.08312038,249.4480218,6.670448322,0.949172651,18.96409475,2.470311998,8.593526207
295,NGC_6231,0.0480666,0.014026488,6.810232518,0.177066045,12.6610575,4384,876,12.05454726,1.765862455,17.01527202,8.294258137,0.057872205,0.682924391,97.49130986,31.40920313,35.05120601,6.88113622,11.35596892,3.585303211,18.40062974
295,OC_0673,0.0480666,0.014026488,6.840106094,0.177842758,11.71574887,101,20,4.137711542,0.436311,4.845470736,8.301758445,0.058544559,0.68385093,97.03823662,31.40920313,35.05120601,6.88113622,11.35596892,3.585303211,4.601267816
296,NGC_6396,0.0480666,0.014026488,6.6599162,0.173157821,16.36658901,752,150,5.493357298,0.276578573,8.426306618,8.330203579,0.03643138,0.687368658,105.3269041,633.4438553,4.742707088,0.674959381,14.51710913,3.348442468,8.323417851
296,OC_0692,0.0480666,0.014026488,8.089905111,0.210337533,14.77548208,904,181,7.782385232,0.179855675,8.119273059,8.390457368,0.029661578,0.69483991,76.21469582,633.4438553,4.742707088,0.674959381,14.51710913,3.348442468,8.850178473
297,NGC_6400,0.0270298,0.007887664,8.640481437,0.224652517,11.93633534,1012,202,6.575736105,0.374989154,10.73433918,7.84846076,0.01665588,0.628612539,84.591738,104.4229411,11.03916761,1.664570953,7.864046757,3.491945028,11.86623928
297,Theia_3922,0.0152,0.004435567,8.780317312,0.22828825,11.70645182,467,93,10.56173036,1.119028281,8.251558446,7.934543827,0.021353441,0.638982918,81.62631739,104.4229411,11.03916761,1.664570953,7.864046757,3.491945028,9.164441703
298,NGC_6451,0.0270298,0.007887664,7.800029359,0.202800763,14.09372553,1847,369,15.71287685,0.646864336,11.05928704,10.11963719,0.067102181,0.920351483,82.46389231,477.2613394,6.097002926,1.102978258,9.540182448,2.175935083,11.9065823
298,UBC_564,0.0270298,0.007887664,6.6599162,0.173157821,16.04755974,215,43,5.772173007,0.239713211,5.692117205,8.492704867,0.050552422,0.707579678,104.3937649,477.2613394,6.097002926,1.102978258,9.540182448,2.175935083,5.813534726
299,NGC_6469,0.0480666,0.014026488,6.6599162,0.173157821,15.92456059,487,97,27.55365816,9.063643192,8.064993146,9.531909124,0.114649976,0.841348922,99.45329751,316.8653762,5.293618706,0.750333295,8.789871359,3.41752722,8.954218203
299,Trumpler_33,0.0480666,0.014026488,7.980003372,0.207480088,11.56050268,545,109,11.39536599,0.357017454,8.617345108,11.00738096,0.092635711,1.044076448,82.09589401,316.8653762,5.293618706,0.750333295,8.789871359,3.41752722,9.296461064
301,NGC_7160,0.0085476,0.002494306,7.11058971,0.184875332,9.854193953,383,76,10.65898155,1.046819855,8.73563541,10.49212341,0.200146762,0.971631058,90.48289164,48.81477123,12.03678437,1.6958138,20.04334082,6.79019472,10.29766877
301,UBC_10b,0.0480666,0.000140275,9.11058971,0.236875332,10.46401408,439,87,29.90403692,8.976334335,9.139292315,14.60715817,0.198118318,1.596080902,90.54428589,48.81477123,12.03678437,1.6958138,20.04334082,6.79019472,10.78914298
302,OC_0031,0.0480666,0.014026488,6.620136055,0.172123537,15.91738182,916,183,5.049369316,0.279864187,9.693919435,9.263078725,0.059910544,0.806007969,102.3964283,77.28890708,14.3197828,2.028045295,7.029985921,3.044946175,10.45990039
302,UBC_344,0.0480666,0.014026488,6.69019608,0.173945098,15.25397696,926,185,9.369604264,3.476906615,9.759327305,9.297201772,0.057268302,0.810465789,101.8970252,77.28890708,14.3197828,2.028045295,7.029985921,3.044946175,10.49804359
303,OC_0034,0.0270298,0.007887664,8.810232518,0.229066045,12.07703918,190,38,6.1582188,0.350785041,5.852100101,9.521338837,0.0655121,0.839949806,79.83444569,235.2117446,5.539896866,0.89085564,15.82551608,2.871648143,6.449765999
303,UBC_1021,0.0480666,0.014026488,6.640481437,0.172652517,15.86901355,649,129,29.97074214,3.483023893,8.985941024,8.967683588,0.049919645,0.767762185,99.5581945,235.2117446,5.539896866,0.89085564,15.82551608,2.871648143,9.713801515
305,OC_0120,0.0270298,0.007887664,7.650307523,0.198907996,14.39911085,290,58,7.489054656,0.357977671,7.716118199,10.36868871,0.213192162,0.954535439,96.56943081,141.2823057,7.36622815,1.105001571,7.515626521,4.833440327,8.978040112
305,vdBergh_130,0.0480666,0.014026488,6.889861721,0.179136405,13.81964335,601,120,10.31154401,2.489823182,9.802579885,11.20366286,0.18457069,1.072127289,95.33682476,141.2823057,7.36622815,1.105001571,7.515626521,4.833440327,11.44878273
306,OC_0133,0.0480666,0.014026488,6.680335513,0.173688723,15.93510191,491,98,18.80803141,2.629745522,9.317617899,12.94103834,0.24974647,1.330944632,93.96214456,228.4904521,5.710512919,0.815837731,24.62009199,6.070195608,10.95023597
306,Steine_20,0.0270298,0.007887664,7.281033367,0.189306868,16.66574736,375,75,10.25782353,0.636918358,8.525908818,12.14527339,0.254552707,1.210088812,96.47030474,228.4904521,5.710512919,0.815837731,24.62009199,6.070195608,10.00918815
307,OC_0153,0.0480666,0.014026488,7.599883072,0.19759696,13.73182444,144,28,8.286790884,0.189012609,6.320526383,10.41570076,0.207908532,0.961034645,92.12120685,193.8889752,5.932124224,0.990931357,22.62093263,5.324602126,7.53205851
307,UBC_161,0.0085476,0.002494306,8.309630167,0.216050384,11.71685692,649,129,11.65591353,0.638925587,10.42796251,12.47892614,0.194060539,1.260294743,90.48262112,193.8889752,5.932124224,0.990931357,22.62093263,5.324602126,12.44333729
308,OC_0168,0.0152,0.004435567,7.559906625,0.196557572,18.00128594,1267,253,23.7822511,1.185271317,16.39376673,27.02867133,0.596616945,4.017384031,107.7840467,841.9104561,4.110112184,0.65969086,26.22665468,8.018683845,20.46747967
308,OC_0190,0.0480666,0.014026488,6.810232518,0.177066045,23.01475676,386,77,11.34321913,0.477908446,10.72185011,29.97950744,0.573245729,4.692918831,90.54811526,841.9104561,4.110112184,0.65969086,26.22665468,8.018683845,13.77204126
309,OC_0315,0.0270298,0.007887664,6.69019608,0.173945098,13.70660485,191,38,7.788232742,9.019336347,7.656557553,8.815197153,0.152960705,0.748263132,76.7472075,167.2389482,4.995193962,0.715996786,18.32090364,2.972403425,9.668264922
309,Theia_6999,0.0480666,0.014026488,6.899820502,0.179395333,13.39930522,294,58,36.04013952,26.33755857,8.867407027,8.778396578,0.180280722,0.743582394,76.20577925,167.2389482,4.995193962,0.715996786,18.32090364,2.972403425,11.16396952
310,OC_0440,0.0480666,0.014026488,7.170261715,0.186426805,14.67191601,834,166,70.35675075,10.36445357,17.81944394,49.68623322,0.829367795,10.01291232,46.3107293,3134.354786,2.160232943,0.305433659,27.08566529,8.953404004,21.81746901
310,Teutsch_62,0.0480666,0.014026488,8.899820502,0.231395333,13.71716352,866,173,27.56541081,2.075211802,15.91416335,55.57636392,0.750125399,11.84517544,67.26295208,3134.354786,2.160232943,0.305433659,27.08566529,8.953404004,22.0930149
311,OC_0602,0.0085476,0.002494306,8.760422483,0.227770985,11.41035245,124,24,8.470271326,3.367738908,5.455077768,7.382597012,0.035698335,0.573482338,82.90042981,112.2233279,6.021978486,0.932896361,8.862776358,1.7318231,6.136557195
311,UBC_295,0.0152,0.000443557,9.049218023,0.235279669,11.18268523,349,69,7.18869407,0.812167598,7.690765815,7.192644952,0.028202676,0.551492026,82.25308726,112.2233279,6.021978486,0.932896361,8.862776358,1.7318231,8.665979059
312,PHOC_1,0.0270298,0.007887664,7.820201459,0.203325238,12.06276936,90,18,21.58435669,3.244100306,5.420556401,10.41133915,0.146610845,0.960431055,92.86044561,170.890445,3.988731949,0.613589231,15.23212021,3.752732087,6.457684598
312,Theia_1890,0.0270298,0.007887664,7.089905111,0.184337533,11.55234083,226,45,31.15683083,7.055228456,7.343341838,8.201088122,0.141281534,0.671449757,82.36991264,170.890445,3.988731949,0.613589231,15.23212021,3.752732087,8.777889975
313,Riddle_6,0.0480666,0.014026488,6.869818208,0.178615273,11.61567796,93,18,3.433623985,0.22256203,5.410276924,10.21654426,0.170134758,0.933603205,90.2842957,73.92280763,4.677781143,0.652810596,20.25728744,2.421022337,6.411441128
313,UPK_155,0.0152,0.004435567,7.920123326,0.205923206,10.05942727,95,19,11.67520377,0.244221972,5.446556538,11.62563899,0.157377602,1.133265199,89.36790702,73.92280763,4.677781143,0.652810596,20.25728744,2.421022337,6.457141649
314,Ruprecht_63,0.0152,0.004435567,8.980003372,0.233480088,13.87854649,1051,210,14.68526145,0.526571802,13.10253713,12.47517604,0.358962229,1.259726679,92.2358787,428.3159914,5.441477001,0.837446807,6.975455228,5.254302531,16.0738109
314,UBC_1440,0.0152,0.004435567,9.149219113,0.237879697,15.13363323,423,84,17.03433693,1.337289618,9.793355515,10.66112767,0.326550547,0.995201494,106.0506563,428.3159914,5.441477001,0.837446807,6.975455228,5.254302531,11.86739232
316,Stock_13,0.0480666,0.014026488,6.820201459,0.177325238,13.43827464,621,124,68.34378819,204.5327806,9.680231068,7.422682034,0.165705156,0.578159397,86.50566441,558.3997593,4.041387765,0.579009733,14.123716,2.275476846,11.08976905
316,UBC_272,0.0480666,0.014026488,8.149219113,0.211879697,12.64032387,439,87,17.02659566,3.557645312,8.599008419,6.984099586,0.092168305,0.527681584,79.28078712,558.3997593,4.041387765,0.579009733,14.123716,2.275476846,9.878995734
317,Stock_14,0.0480666,0.014026488,6.889861721,0.179136405,13.40669497,463,92,11.15818656,0.659081579,8.635838086,6.786708404,0.061767968,0.505469654,88.10995994,133.6559367,6.957688708,1.00395553,10.24470272,2.099311613,9.871014726
317,UBC_1587,0.0480666,0.014026488,6.790285164,0.176547414,13.93207244,289,57,8.220980069,0.433570032,7.420861925,6.746647592,0.057573534,0.50100071,89.15734283,133.6559367,6.957688708,1.00395553,10.24470272,2.099311613,8.435040079
318,Teutsch_12,0.0480666,0.014026488,9.041392685,0.23507621,14.05334018,325,65,11.49711309,0.664420907,10.35628001,8.951769955,0.139933812,0.765719439,116.3848762,676.5023232,3.127366103,0.446055095,29.49215586,7.222143639,13.07124427
318,UBC_203,0.0270298,0.007887664,8.989894564,0.233737259,13.12932436,444,88,12.32343238,0.627914472,10.84710425,9.139177444,0.141736268,0.78989064,76.2483334,676.5023232,3.127366103,0.446055095,29.49215586,7.222143639,14.50388166
319,Teutsch_292,0.0480666,0.014026488,8.720159303,0.226724142,10.87874464,156,31,8.873899304,1.504362146,6.187258952,12.66992858,0.161924665,1.289340288,88.80460872,147.5410205,3.863792472,0.558263401,19.37001215,3.244972632,7.161072716
319,Theia_3047,0.0480666,0.014026488,7.790285164,0.202547414,11.98488942,100,20,9.799982245,0.935115609,5.332116837,10.84929035,0.172110719,1.021664495,86.17864712,147.5410205,3.863792472,0.558263401,19.37001215,3.244972632,6.174343476
320,Teutsch_J1209.3-6120,0.0480666,0.014026488,9.380211242,0.243885492,13.03026197,410,82,8.321306979,0.625776801,8.170619928,5.839907638,0.115283969,0.403473737,74.08451884,595.0672649,9.874014273,1.866083411,14.70869919,2.509842235,9.053503119
320,Trumpler_20,0.0480666,0.014026488,9.390935107,0.244164313,12.76464744,6333,1266,11.04835751,0.907551145,19.88255132,6.324243484,0.077079384,0.45469395,65.43184052,595.0672649,9.874014273,1.866083411,14.70869919,2.509842235,22.54794167
321,Theia_401,0.0480666,0.014026488,8.969881644,0.233216923,9.400567454,256,51,19.33209526,1.037291549,7.604933025,11.48467748,0.13648109,1.11271645,90.18124403,68.83363319,9.178670984,1.44894941,270.6445951,5.718562875,8.978622057
321,UPK_166,0.0480666,0.014026488,7.409933123,0.192658261,9.285148635,418,93,56.78953236,11.64917243,8.911867069,9.262276194,0.142564511,0.805903225,89.7622172,68.83363319,9.178670984,1.44894941,270.6445951,5.718562875,10.58419879
322,Theia_2478,0.0480666,0.014026488,8.699837726,0.226195781,13.03935905,528,105,21.25756195,4.903079881,8.747052718,7.48823986,0.052440086,0.585835822,80.64119772,169.3650853,8.635774353,1.270184204,21.06046155,2.163751916,9.894268692
322,UBC_522,0.0480666,0.014026488,6.650307523,0.172907996,15.88147005,940,188,41.85820026,5.299088307,10.72015684,6.874786837,0.047027386,0.515341549,93.81011196,169.3650853,8.635774353,1.270184204,21.06046155,2.163751916,11.99305222
323,Theia_2505,0.0270298,0.007887664,7.250420002,0.18851092,12.85868793,163,32,15.51005505,0.976993182,5.669414526,8.235572455,0.023994108,0.675689222,95.20382379,28.83343706,21.8437011,3.961277293,13.77114664,4.790229374,5.761074455
323,Trumpler_26,0.0270298,0.007887664,8.550228353,0.222305937,12.54100487,1436,287,15.19994929,1.55096814,11.67922281,8.244983548,0.034496069,0.676847755,80.56725512,28.83343706,21.8437011,3.961277293,13.77114664,4.790229374,12.60165817
324,Theia_3397,0.0270298,0.007887664,7.770115295,0.202022998,9.889988202,391,78,31.42438271,14.74571623,8.994275607,9.251699636,0.101862935,0.804523233,92.78863153,150.1255029,6.24277122,0.889166809,12.17286125,5.308356187,10.89529367
324,UPK_470,0.0085476,0.002494306,7.530199698,0.195785192,10.02068721,289,57,121.1353159,67.71568229,8.171850828,8.327924944,0.097868399,0.687086644,82.4557517,150.1255029,6.24277122,0.889166809,12.17286125,5.308356187,9.850275025
325,Theia_3823,0.0152,0.004435567,8.389166084,0.218118318,12.5522761,180,36,6.266580256,0.512883537,6.682847984,11.84358532,0.188115861,1.165282147,98.23329601,254.8820237,2.928177882,0.446595785,10.21377503,3.506555386,7.961858687
325,UBC_1621,0.0085476,0.002494306,7.459392488,0.193944205,11.87349843,74,14,19.098942,6.881945504,5.036964346,9.376013171,0.192066128,0.820792947,78.39316073,254.8820237,2.928177882,0.446595785,10.21377503,3.506555386,5.920097598
327,Trumpler_11,0.0270298,0.007887664,8.029383778,0.208763978,13.38026975,615,123,15.42342716,0.84305541,9.995069379,8.309030646,0.283557807,0.68474969,102.8965268,1021.476137,3.253896442,0.460685164,9.56916556,4.292840923,11.65484924
327,UBC_1480,0.0270298,0.007887664,8.889861721,0.231136405,14.16472655,642,128,22.92317688,2.361629792,10.22823688,7.759126272,0.41650981,0.617910439,57.40988475,1021.476137,3.253896442,0.460685164,9.56916556,4.292840923,11.8229717
328,Trumpler_12,0.0480666,0.014026488,8.699837726,0.226195781,13.51210689,1171,234,13.3354413,1.492556982,12.39623719,9.145523091,0.359326772,0.790713455,109.1996583,251.6124579,6.751483419,1.200972044,20.57336587,5.059360976,14.47081494
328,UBC_1475,0.0480666,0.014026488,8.899820502,0.231395333,14.37685518,162,32,10.47602998,0.280725548,6.437836302,11.97458205,0.346770088,1.184668523,110.3812992,251.6124579,6.751483419,1.200972044,20.57336587,5.059360976,7.483355891
329,Trumpler_23,0.0270298,0.007887664,8.850033258,0.230100865,13.62028903,1780,356,7.474295073,0.927938445,11.89439014,6.95396364,0.207742075,0.524269903,106.5265627,471.5577847,6.385891057,1.053466269,9.839815687,2.664383227,12.52961185
329,UBC_535,0.0270298,0.007887664,8.42975228,0.219173559,13.53839428,455,91,27.4981179,2.952746631,7.387590565,7.35434502,0.216381239,0.570193554,88.95295392,471.5577847,6.385891057,1.053466269,9.839815687,2.664383227,7.951772675
330,UBC_125,0.0152,0.004435567,8.860338007,0.230368788,11.25167417,375,75,25.68280085,3.914556446,8.106092847,11.74980322,0.120592467,1.151468848,94.63292281,225.780618,9.156262028,1.556477622,11.75483329,3.756064017,9.366837098
330,UBC_129,0.0480666,0.014026488,7.810232518,0.203066045,11.87423174,1825,365,51.58797005,12.1093232,13.93624955,9.91899936,0.143891269,0.893116466,85.99919858,225.780618,9.156262028,1.556477622,11.75483329,3.756064017,15.87648476
331,UBC_147,0.0480666,0.014026488,7.609594409,0.197849455,13.0503342,513,102,30.37457723,5.033118303,9.516816944,10.42537986,0.185910232,0.962374562,98.41146063,473.0927261,3.643665458,0.554109982,14.98426786,4.072028057,11.2007789
331,UBC_586,0.0480666,0.014026488,9.008600172,0.234223604,12.42007118,217,43,24.4801242,2.498234353,7.138727308,11.88543687,0.197345407,1.171464217,85.24448829,473.0927261,3.643665458,0.554109982,14.98426786,4.072028057,8.408013847
332,UBC_253,0.0270298,0.007887664,8.609594409,0.223849455,11.61625575,261,52,10.96221323,0.7300159,7.533997837,11.0822532,0.170333594,1.05474726,92.65344081,162.7715964,5.761568256,0.824392882,21.69255296,2.869529674,8.852629384
332,UBC_254,0.0085476,0.002494306,8.389166084,0.218118318,11.58102676,367,73,21.10086238,1.419523622,8.437558167,10.84964187,0.176547326,1.021714149,98.67603355,162.7715964,5.761568256,0.824392882,21.69255296,2.869529674,9.918230113
333,UBC_280,0.0152,0.004435567,7.480006943,0.194480181,12.39884721,417,83,89.99580977,82.25411029,8.330701704,7.3400886,0.082799289,0.568536375,78.82637812,82.33537643,9.085953478,1.282106545,18.28120568,2.253676265,9.460101833
333,UBC_281,0.0270298,0.007887664,7.910090546,0.205662354,12.53308825,373,74,12.52692634,2.254697625,8.0082977,6.235251432,0.060724787,0.445130404,100.172874,82.33537643,9.085953478,1.282106545,18.28120568,2.253676265,9.113841669
334,UBC_1532,0.0270298,0.007887664,8.840106094,0.229842758,13.70791735,880,176,13.7367692,1.068171394,9.529659375,5.819814955,0.101339131,0.401393252,73.9845774,166.374131,9.373547624,1.326798002,7.390480578,2.150508559,10.40239319
334,UBC_299,0.0085476,0.002494306,8.969881644,0.233216923,13.3579455,819,163,10.60721508,0.9639321,9.483395394,5.93007984,0.124747159,0.412854587,105.3319489,166.374131,9.373547624,1.326798002,7.390480578,2.150508559,10.15613475
335,UBC_315,0.0480666,0.014026488,9.149219113,0.237879697,12.81330307,807,161,9.054844901,0.076439108,9.301427031,6.838874736,0.155315287,0.511308811,97.4078451,315.9397025,6.002442667,0.869430696,12.89384641,3.415397809,9.753938549
335,UBC_550,0.0480666,0.014026488,8.699837726,0.226195781,13.80622212,516,103,17.76548235,0.798762267,7.716959684,7.359014829,0.1609525,0.570736727,95.86478038,315.9397025,6.002442667,0.869430696,12.89384641,3.415397809,8.403023461
336,UBC_326,0.0152,0.004435567,8.980003372,0.233480088,12.68135704,701,140,9.503865201,0.807656685,9.170739329,7.164957283,0.119314376,0.548310688,103.4219969,126.8716371,8.357695442,1.256016388,12.36128254,4.005863135,9.97955398
336,UFMG_66,0.0085476,0.002494306,7.369215857,0.191599612,11.8582663,329,65,34.76807068,16.4800575,7.083560507,8.466898363,0.098772969,0.70435698,88.19208339,126.8716371,8.357695442,1.256016388,12.36128254,4.005863135,7.753961818
338,UBC_1043,0.0152,0.004435567,6.599883072,0.17159696,15.6033938,223,44,6.138244214,0.437201443,6.140398523,9.971929361,0.098884014,0.900274799,101.8619859,30.82394011,15.03656494,2.327438253,13.20129625,3.456522638,6.486379521
338,UBC_355,0.0270298,0.007887664,6.599883072,0.17159696,15.93606397,587,117,5.907575061,0.77778594,8.482158566,9.764408179,0.078326229,0.872318718,101.8700916,30.82394011,15.03656494,2.327438253,13.20129625,3.456522638,9.073932968
339,UBC_356,0.0270298,0.007887664,7.810232518,0.203066045,11.9278574,214,42,11.431391,0.2215244,6.579183548,8.720513558,0.067330558,0.736239977,83.60817884,42.62354005,10.1563087,1.443066935,11.81766416,4.101767255,7.399133285
339,UBC_575,0.0480666,0.014026488,7.910090546,0.205662354,11.72555311,297,59,18.88173818,3.181406288,7.363474048,8.954228592,0.07452996,0.766034922,84.6675857,42.62354005,10.1563087,1.443066935,11.81766416,4.101767255,8.266768073
341,UBC_1374,0.0480666,0.014026488,6.620136055,0.172123537,15.84357071,392,78,10.21174079,0.729539768,9.809391467,7.870489941,0.25810706,0.631260995,68.46547025,237.6295194,4.895860117,0.703421782,11.58458817,6.194032682,12.35825891
341,UBC_457,0.0270298,0.007887664,8.230448921,0.213991672,13.54068689,270,54,9.42347263,0.342659466,8.669238894,8.070154901,0.259775217,0.655434216,91.38469761,237.6295194,4.895860117,0.703421782,11.58458817,6.194032682,10.91364637
343,UBC_1259,0.0270298,0.007887664,8.439332694,0.21942265,13.9432596,411,82,83.32610604,38.04147182,10.64910419,10.57252611,0.314659956,0.982821057,89.23304803,478.4605332,3.74759506,0.531343755,6.13134352,8.348686057,13.28443314
343,UBC_1262,0.0480666,0.014026488,6.640481437,0.172652517,19.01395141,370,74,9.886663946,0.725223445,9.902870665,11.28648289,0.238881001,1.084037346,77.46854673,478.4605332,3.74759506,0.531343755,6.13134352,8.348686057,12.82711611
344,UBC_1289,0.0480666,0.014026488,9.369215857,0.243599612,11.85086834,340,68,14.65785686,1.1549714,9.433085699,8.616861394,0.212655584,0.72315262,83.24126381,338.7334867,3.936280621,0.561759439,10.10393348,7.818882911,11.92022436
344,UBC_1295,0.0480666,0.014026488,8.699837726,0.226195781,13.48463788,270,54,103.8870892,69.64612568,8.603579667,11.42544628,0.191771467,1.104119454,83.1386292,338.7334867,3.936280621,0.561759439,10.10393348,7.818882911,11.03849904
